41353	672549
41358	672254
41361	668544
41369	666950
41371	666066
41388	664661
41391	659843
41400	656837
41403	651688
41410	649095
41412	648473
41419	646089
41424	645794
41432	643814
41436	642633
41439	642508
41444	640679
41445	640210
41453	638256
41461	637806
41463	637184
41470	634800
41475	634505
41480	632850
41483	632525
41490	631219
41498	629783
41499	629570
41503	629488
41506	628197
41507	627360
41514	626817
41518	626202
41520	626073
41521	625442
41523	624373
41525	624334
41530	623793
41532	621950
41537	621655
41540	620364
41542	620000
41545	619675
41548	618984
41552	618369
41572	618302
41577	617441
41578	616855
41582	613450
41587	611621
41591	611006
41594	610315
41597	609990
41599	609626
41607	608040
41612	607745
41630	606747
41631	606262
41637	606062
41639	605806
41642	605481
41644	605117
41647	604392
41652	603531
41657	603236
41660	602418
41675	602238
41676	601753
41682	601553
41685	601490
41689	600875
41692	599883
41695	599859
41697	599495
41705	597909
41710	597614
41723	597299
41728	596616
41729	596131
41735	595931
41745	594261
41763	593651
41768	593356
41771	592538
41776	591677
41786	590869
41803	590304
41804	590259
41806	589979
41808	589615
41812	589146
41816	588029
41821	587734
41839	586736
41840	586251
41846	586051
41857	584637
41862	584342
41870	584273
41880	583344
41881	582859
41887	582659
41903	582467
41911	580881
41916	580586
41934	579588
41941	579550
41943	579450
41961	578600
41965	578156
41967	577538
41974	576709
41990	576571
41991	575760
41998	574931
42008	574146
42013	573851
42021	573782
42028	572953
42031	572853
42032	572368
42037	572073
42054	571976
42055	571075
42062	570390
42067	570095
42085	569097
42094	568959
42104	568602
42108	568519
42111	568058
42116	567665
42125	567517
42134	566624
42138	566541
42141	566080
42148	565524
42186	564606
42193	563777
42197	563192
42203	562992
42204	562507
42220	561758
42222	561509
42227	561214
42242	560920
42258	560747
42259	559783
42269	559426
42275	559226
42276	558741
42290	558341
42294	557743
42299	557448
42314	557154
42322	556450
42329	555906
42350	555675
42360	555532
42362	554575
42371	554118
42377	553918
42378	553433
42389	553424
42396	552435
42401	552140
42416	551846
42420	551623
42433	550709
42452	550367
42462	549835
42464	549267
42469	549150
42475	548096
42492	547857
42506	547722
42507	547563
42513	546893
42517	546308
