1	36459	479074
2	37051	457380
3	37339	436665
4	37744	417190
5	38452	398498
6	38916	380337
7	39819	363801
8	40735	347698
9	41649	332284
10	42752	317781
11	44982	303991
12	46385	290750
13	47433	278251
14	49327	266367
15	50898	254964
16	52442	244193
17	54376	233871
18	56346	224211
19	58530	214861
20	61689	206088
21	63861	197669
22	65893	189699
23	67990	182099
24	71647	174873
25	73922	167980
26	77169	161450
27	80370	155215
28	83607	149300
29	85592	143636
30	88876	138301
31	92858	133221
32	97257	128371
33	99142	123761
34	104000	119335
35	106730	115192
36	112194	111223
37	116109	107450
38	119709	103855
39	124341	100449
40	130070	97199
41	134477	94110
42	138134	91171
43	142974	88359
44	147769	85682
45	156634	83184
46	160283	80779
47	166988	78469
48	170803	76308
49	175561	74224
50	181941	72263
51	187994	70366
52	192920	68608
53	198710	66914
54	204209	65296
55	211738	63754
56	213969	62300
57	222896	60912
58	227897	59592
59	229051	58304
60	236549	57144
61	242638	56003
62	247841	54909
63	253217	53874
64	259541	52911
65	265415	51969
66	269032	51094
67	279311	50259
68	280405	49414
69	289763	48695
70	296649	47963
71	302725	47280
72	306507	46615
73	307121	45996
74	318366	45407
75	318998	44838
76	327645	44294
77	335422	43793
78	342369	43306
79	346290	42837
80	352504	42405
81	356714	41978
82	364563	41583
83	363813	41211
84	377336	40849
85	378667	40509
86	388520	40181
87	393782	39862
88	399046	39559
89	417570	39289
90	411649	39024
91	417255	38776
92	422176	38536
93	432811	38304
94	436592	38085
95	441035	37879
96	450838	37682
97	459037	37495
98	470883	37315
99	484966	37144
100	497507	36982
