41709	484988
41710	483425
41711	482885
41714	482360
41715	481820
41720	481807
41721	479798
41722	479258
41725	478733
41726	478193
41728	477043
41729	476503
41733	475438
41736	473919
41737	473379
41740	472876
41741	472314
41744	471811
41747	470292
41748	469752
41751	469227
41752	468687
41767	466752
41770	466227
41771	465687
41775	465246
41776	465135
41780	464694
41784	464141
41787	463616
41788	463076
41792	462635
41807	462456
41808	462246
41811	461820
41814	461286
41818	460845
41819	460826
41820	460286
41824	459845
41840	459456
41843	459030
41846	458496
41850	458055
41866	457666
41869	457240
41873	456799
41889	456410
41890	456344
41892	455833
41897	455720
41901	455354
41913	455088
41916	454554
41920	454464
41924	454098
41935	453588
41939	453298
41950	453278
41954	452879
41957	452872
41958	452332
41963	452219
41969	452079
41971	451763
41982	451253
41986	450963
41997	450943
42001	450671
42002	450574
42004	450537
42005	449997
42016	449744
42021	449608
42029	449302
42035	448778
42048	448336
42060	447771
42074	447465
42075	447352
42078	447117
42088	446910
42090	446552
42103	446110
42118	445691
42131	445418
42132	445385
42133	444891
42147	444585
42149	444502
42161	444199
42170	444143
42175	443893
42177	443810
42185	443703
42197	443513
42202	443504
42208	443394
42213	443011
42217	442704
42231	442398
42233	442315
42245	442012
42250	441980
42254	441956
42261	441623
42269	441516
42275	441462
42278	441288
42296	441162
42301	440602
42305	440243
42314	440160
42319	439937
42321	439854
42334	439793
42343	439481
42344	438941
42358	438635
42360	438552
42375	438514
42384	438339
42387	438279
42389	438056
42396	437753
42399	437603
42408	437563
42413	437297
42415	437214
42428	436754
42442	436448
42444	436365
42459	436327
42461	436030
42475	435949
42480	435566
42483	435416
42492	435376
42497	435110
42499	435027
42514	434989
42516	434692
42529	434232
42535	434228
42543	433926
42545	433843
42559	433537
42567	433511
42568	433460
42576	433416
42581	433044
42584	432894
42593	432854
42597	432655
42598	432588
42600	432505
42614	432199
42617	432164
42623	432122
42629	431938
42636	431706
42647	431700
42648	431516
42652	431317
42668	430989
42669	430938
42683	430632
42684	430600
42700	430511
42708	429989
42721	429750
42724	429600
42738	429294
42741	429259
42755	429173
42760	429125
42764	429088
42767	428938
42770	428621
42776	428412
42793	428282
42806	427822
42819	427750
42822	427433
42825	427283
42836	427127
42837	427095
42853	427006
42856	426890
42861	426484
42876	426458
42877	426095
42891	425789
42894	425754
42905	425556
42911	425552
42917	425368
42919	425250
42925	425246
42928	425217
42931	425062
42941	424757
42954	424685
42955	424451
42957	424368
42960	424218
42971	424062
42972	424030
42974	423912
42986	423724
42996	423419
43010	423113
43012	423030
43026	422724
43029	422689
43043	422383
43058	422331
43059	422225
43069	422049
43071	421939
43073	421919
43074	421735
43087	421719
43091	421394
43107	421140
43109	421057
43123	420751
43140	420410
43155	420358
43163	420112
43168	419846
43170	419763
43171	419762
43180	419656
43184	419457
43188	419421
43197	419315
43207	419287
43209	419127
43218	418774
43232	418468
43235	418433
43249	418127
43264	418075
43265	417873
43274	417833
43276	417805
43277	417683
43279	417663
43281	417484
