1	25124	167169
2	25132	164356
3	25140	163822
4	25150	163402
5	25161	163193
6	25168	163074
7	25169	160380
8	25177	159846
9	25187	159426
10	25205	159098
11	25240	158966
12	25248	158768
13	25258	158638
14	25266	158440
15	25277	158270
16	25287	157850
17	25299	157410
18	25307	156876
19	25317	156456
20	25335	156128
21	25375	156005
22	25378	155798
23	25393	155737
24	25394	155696
25	25396	155470
26	25407	155300
27	25409	155264
28	25417	154880
29	25419	154844
30	25435	154552
31	25437	154516
32	25456	154040
33	25464	153506
34	25474	153086
35	25492	152758
36	25532	152635
37	25535	152428
38	25540	152359
39	25550	151939
40	25564	151930
41	25568	151611
42	25574	151510
43	25588	151192
44	25592	151182
45	25598	150772
46	25616	150444
47	25643	150399
48	25650	150363
49	25654	150360
50	25656	150321
51	25659	150114
52	25662	149923
53	25670	149389
54	25680	148969
55	25698	148641
56	25709	148602
57	25727	148274
58	25756	148250
59	25759	147983
60	25770	147813
61	25780	147393
62	25798	147065
63	25823	146708
64	25833	146288
65	25851	145960
66	25878	145915
67	25891	145837
68	25897	145439
69	25905	144905
70	25915	144485
71	25933	144157
72	25973	144034
73	25991	143766
74	26010	143580
75	26020	143160
76	26038	142832
77	26078	142709
78	26080	142672
79	26096	142441
80	26136	142318
81	26138	142281
82	26157	142095
83	26167	141675
84	26185	141347
85	26225	141014
86	26243	140686
87	26267	140606
88	26277	140186
89	26285	139976
90	26295	139556
91	26313	139228
92	26353	139105
93	26371	138837
94	26411	138714
95	26424	138701
96	26432	138491
97	26442	138071
98	26460	137743
99	26500	137620
100	26518	137352
101	26550	137292
102	26558	137229
103	26568	136964
104	26587	136715
105	26595	136505
106	26605	136085
107	26623	135757
108	26663	135634
109	26681	135366
110	26721	135243
111	26734	135230
112	26742	135020
113	26752	134600
114	26770	134272
115	26810	134149
116	26828	133881
117	26868	133758
118	26896	133571
119	26932	133569
120	26936	133448
121	26949	133358
122	26954	133180
123	26988	132899
124	27028	132776
125	27046	132508
